Phase,Task_ID,Task_Name,Type_Owner,Objective,Outputs,Features,Acceptance_Criteria,Dependencies,Estimated_Hours
Phase 1: Infrastructure & Setup,T-01,Define POC Scope & Demo Success,Research - Yossi,Finalize POC boundaries and success metrics,/docs/poc_scope.md with KPIs demo storyline ML readiness plan,Scope definition KPIs ML enhancement strategy,Both agree on scope KPIs and ML enhancement strategy,None,4
Phase 1: Infrastructure & Setup,T-02,Select Universe (~100 liquid tickers),Research - Yossi,Compile list of ~100 liquid US symbols,/data/universe_poc.csv with symbol name sector,Symbol selection sector classification,â‰¥90 symbols valid no duplicates,None,2
Phase 1: Infrastructure & Setup,T-03,Docker Compose: Spark + Kafka + MinIO + Elasticsearch,Dev - Noam,Set up complete infrastructure stack,infra/docker-compose.yml .env.example,Spark Kafka MinIO Elasticsearch Kibana,All services healthy Spark UI reachable,None,8
Phase 1: Infrastructure & Setup,T-04,Project Structure & Dependencies,Dev - Noam,Set up project structure and install dependencies,requirements.txt project layout virtual environment,Project structure dependency management,All imports work project structure follows conventions,None,4
Phase 2: Data Ingestion & Storage,T-05,PySpark Data Fetcher Job,Dev - Noam,Create concurrent data fetching using Spark,jobs/fetch_data_job.py,Parallel fetching of 100 symbols rate limiting error handling UDF-based Yahoo Finance integration fault tolerance retry logic,Can fetch 2 years of daily data for 100 symbols in <10 minutes,T-03 T-04,12
Phase 2: Data Ingestion & Storage,T-06,Delta Lake Storage Setup,Dev - Noam,Configure Delta Lake with MinIO,features/common/io.py Delta table schemas,Partitioned storage schema evolution ACID transactions,Can write/read Delta tables efficiently,T-03 T-04,6
Phase 2: Data Ingestion & Storage,T-07,Data Quality Framework,Research - Yossi,Define data quality rules and validation,/docs/dq_rules.md data validation functions,Missing data tolerance outlier detection schema validation,DQ rules catch data issues automatically,T-05,4
Phase 3: Streaming Pipeline,T-08,Delta to Kafka Replay Job,Dev - Noam,Create streaming replay from Delta to Kafka,jobs/replay_job.py,Configurable replay speed (1x to 1000x) chronological ordering checkpointing fault tolerance rate limiting,Can replay 1 month of data in <5 minutes at 60x speed,T-06 T-07,8
Phase 3: Streaming Pipeline,T-09,A/D Features Streaming Job,Dev - Noam,Real-time advance/decline feature computation,streaming/ad_job.py,Window-based aggregation (1m 5m 1d) adv_count dec_count adv_ratio up_vol dn_vol up_dn_vol_ratio exactly-once processing,End-to-end streaming produces correct features,T-08,10
Phase 3: Streaming Pipeline,T-10,Moving Average Features Job,Dev - Noam,Real-time MA(20/50) computation,streaming/ma_job.py,Rolling MA calculation per symbol market-wide percentage aggregates stateful processing with checkpoints,MA values match batch calculations,T-08,8
Phase 3: Streaming Pipeline,T-11,McClellan Oscillator Job,Dev - Noam,Real-time McClellan oscillator computation,streaming/mcclellan_job.py,EMA(19) and EMA(39) calculation oscillator and summation values extreme threshold detection,Matches hand-calculated values,T-09,8
Phase 3: Streaming Pipeline,T-12,ZBT Detection Job,Dev - Noam,Zweig Breadth Thrust pattern detection,streaming/zbt_job.py,10-day SMA of breadth ratio threshold crossing detection boolean flag generation,Identifies known historical ZBT events,T-09,6
Phase 4: Signal Generation,T-13,Composite Scoring Job,Dev - Noam,Batch scoring with configurable weights,jobs/scoring_job.py /model/score.py,Z-score normalization (winsorized) configurable indicator weights 0-100 score scaling flag generation (thrust overbought oversold),Deterministic scoring unit tests pass,T-10 T-11 T-12,10
Phase 4: Signal Generation,T-14,ML-Ready Architecture,Dev - Noam,Design ML-ready scoring interface,model/ml_interface.py feature store design,Modular scoring interface feature store for ML training A/B testing framework model versioning,Can easily swap scoring methods,T-13,6
Phase 5: Backtesting & Analysis,T-15,Backtesting Engine,Dev - Noam,Comprehensive backtesting framework,backtests/engine.py backtests/policy.yaml,Transaction costs and slippage portfolio simulation performance metrics (Sharpe max DD etc.) trade export capabilities,Reproducible results comprehensive metrics,T-13,12
Phase 5: Backtesting & Analysis,T-16,Threshold Calibration,Research - Yossi,Optimize buy/sell thresholds,/model/calibration.yaml optimization scripts,Out-of-sample validation parameter optimization performance comparison,OOS performance shows improvement,T-15,8
Phase 6: Monitoring & Search,T-17,Elasticsearch Integration,Dev - Noam,Real-time search and analytics,streaming/elasticsearch_sink.py search functions,Real-time signal indexing complex search queries time-series analytics alerting capabilities,Can search signals in real-time,T-13,10
Phase 6: Monitoring & Search,T-18,Kibana Dashboards,Research - Yossi,Operational dashboards,Kibana dashboard configurations,Real-time signal monitoring historical performance charts alert dashboards,Dashboards provide actionable insights,T-17,8
Phase 7: CLI & Interface,T-19,Enhanced CLI,Dev - Noam,Comprehensive command-line interface,cli/bf.py,bf fetch bf replay bf score bf search bf backtest commands,All commands work end-to-end,T-15 T-17,8
Phase 7: CLI & Interface,T-20,Demo & Documentation,Testing - Yossi,Complete demo and documentation,/docs/demo_run.md README architecture diagrams,Step-by-step demo guide performance benchmarks architecture documentation troubleshooting guide,New user can run complete demo in 10 minutes,T-19,6
Phase 8: ML Enhancement (Stretch),S-01,Spark ML Pipeline,Dev - Noam,ML-enhanced scoring,model/ml_pipeline.py trained models,Random Forest classifier feature engineering pipeline model evaluation A/B testing framework,ML model shows improvement over baseline,T-14,16
Phase 8: ML Enhancement (Stretch),S-02,Advanced Analytics,Research - Yossi,Advanced market analytics,Advanced analytics notebooks,Correlation analysis regime detection risk modeling,Provides additional insights,S-01,12
